dw_key,dw_estado,ataques,desaparecidos,muertos
MX-SLP,San Luis Potosi,0,0,0
MX-HID,Hidalgo,0,0,0
MX-YUC,Yucatán,0,0,0
MX-CHH,Chihuahua,1,0,1
MX-ROO,Quintana Roo,0,0,0
MX-JAL,Jalisco,0,0,0
MX-BCS,Baja California Sur,0,0,0
MX-CAM,Campeche,0,0,0
MX-COL,Colima,0,0,0
MX-NAY,Nayarit,0,0,0
MX-SON,Sonora,3,0,3
MX-COA,Coahuila,0,0,0
MX-OAX,Oaxaca,0,0,0
MX-VER,Veracruz,2,0,2
MX-CHP,Chiapas,0,0,0
MX-MIC,Michoacán,0,0,0
MX-SIN,Sinaloa,0,0,0
MX-AGU,Aguascalientes,0,0,0
MX-TLA,Tlaxcala,0,0,0
MX-MOR,Morelos,0,0,0
MX-TAB,Tabasco,0,0,0
MX-DUR,Durango,0,0,0
MX-NLE,Nuevo León,0,0,0
MX-GRO,Guerrero,1,0,1
MX-GUA,Guanajuato,1,0,1
MX-CMX,Ciudad de México,0,0,0
MX-QUE,Querétaro,0,0,0
MX-PUE,Puebla,0,0,0
MX-TAM,Tamaulipas,0,0,0
MX-BCN,Baja California,0,0,0
MX-MEX,Estado de México,0,0,0
MX-ZAC,Zacatecas,1,0,1
