dw_key,dw_estado,ataques,desaparecidos,muertos
MX-SLP,San Luis Potosi,0,0,0
MX-HID,Hidalgo,0,0,0
MX-YUC,Yucatán,0,0,0
MX-CHH,Chihuahua,0,0,0
MX-ROO,Quintana Roo,3,0,3
MX-JAL,Jalisco,0,0,0
MX-BCS,Baja California Sur,0,0,0
MX-CAM,Campeche,0,0,0
MX-COL,Colima,0,0,0
MX-NAY,Nayarit,1,0,1
MX-SON,Sonora,0,0,0
MX-COA,Coahuila,0,0,0
MX-OAX,Oaxaca,0,0,0
MX-VER,Veracruz,1,0,1
MX-CHP,Chiapas,2,0,2
MX-MIC,Michoacán,0,0,0
MX-SIN,Sinaloa,0,0,0
MX-AGU,Aguascalientes,0,0,0
MX-TLA,Tlaxcala,0,0,0
MX-MOR,Morelos,0,0,0
MX-TAB,Tabasco,1,0,1
MX-DUR,Durango,0,0,0
MX-NLE,Nuevo León,1,0,1
MX-GRO,Guerrero,2,0,2
MX-GUA,Guanajuato,0,0,0
MX-CMX,Ciudad de México,2,0,2
MX-QUE,Querétaro,0,0,0
MX-PUE,Puebla,0,0,0
MX-TAM,Tamaulipas,2,0,2
MX-BCN,Baja California,0,0,0
MX-MEX,Estado de México,1,0,1
MX-ZAC,Zacatecas,0,0,0
