dw_key,dw_estado,acum_ataques,acum_desaparecidos,acum_muertos
MX-SLP,San Luis Potosi,0,0,0
MX-HID,Hidalgo,0,0,0
MX-YUC,Yucatán,0,0,0
MX-CHH,Chihuahua,19,0,19
MX-ROO,Quintana Roo,1,0,1
MX-JAL,Jalisco,4,0,4
MX-BCS,Baja California Sur,1,0,1
MX-CAM,Campeche,1,0,1
MX-COL,Colima,0,0,0
MX-NAY,Nayarit,0,0,0
MX-SON,Sonora,4,1,3
MX-COA,Coahuila,5,2,3
MX-OAX,Oaxaca,4,0,7
MX-VER,Veracruz,13,2,13
MX-CHP,Chiapas,2,0,2
MX-MIC,Michoacán,7,3,7
MX-SIN,Sinaloa,6,0,6
MX-AGU,Aguascalientes,0,0,0
MX-TLA,Tlaxcala,0,0,0
MX-MOR,Morelos,4,0,4
MX-TAB,Tabasco,2,1,1
MX-DUR,Durango,7,0,7
MX-NLE,Nuevo León,3,2,4
MX-GRO,Guerrero,13,2,12
MX-GUA,Guanajuato,0,0,0
MX-CMX,Ciudad de México,12,0,15
MX-QUE,Querétaro,0,0,0
MX-PUE,Puebla,0,0,0
MX-TAM,Tamaulipas,16,0,16
MX-BCN,Baja California,3,0,3
MX-MEX,Estado de México,5,0,5
MX-ZAC,Zacatecas,0,0,0
