dw_key,dw_estado,acum_ataques,acum_desaparecidos,acum_muertos
MX-SLP,San Luis Potosi,2,2,0
MX-HID,Hidalgo,0,0,0
MX-YUC,Yucatán,0,0,0
MX-CHH,Chihuahua,24,1,25
MX-ROO,Quintana Roo,1,0,1
MX-JAL,Jalisco,4,0,4
MX-BCS,Baja California Sur,1,0,1
MX-CAM,Campeche,1,0,1
MX-COL,Colima,0,0,0
MX-NAY,Nayarit,2,0,2
MX-SON,Sonora,6,1,5
MX-COA,Coahuila,8,2,6
MX-OAX,Oaxaca,11,0,14
MX-VER,Veracruz,20,2,23
MX-CHP,Chiapas,2,0,2
MX-MIC,Michoacán,10,3,11
MX-SIN,Sinaloa,9,2,9
MX-AGU,Aguascalientes,0,0,0
MX-TLA,Tlaxcala,0,0,0
MX-MOR,Morelos,5,0,5
MX-TAB,Tabasco,5,1,5
MX-DUR,Durango,7,0,7
MX-NLE,Nuevo León,6,2,7
MX-GRO,Guerrero,16,2,15
MX-GUA,Guanajuato,1,0,1
MX-CMX,Ciudad de México,14,0,17
MX-QUE,Querétaro,0,0,0
MX-PUE,Puebla,2,0,2
MX-TAM,Tamaulipas,20,1,19
MX-BCN,Baja California,4,0,4
MX-MEX,Estado de México,5,0,5
MX-ZAC,Zacatecas,1,0,1
