dw_key,dw_estado,acum_ataques,acum_desaparecidos,acum_muertos
MX-SLP,San Luis Potosi,3,2,1
MX-HID,Hidalgo,0,0,0
MX-YUC,Yucatán,0,0,0
MX-CHH,Chihuahua,26,1,27
MX-ROO,Quintana Roo,1,0,1
MX-JAL,Jalisco,5,0,5
MX-BCS,Baja California Sur,2,0,2
MX-CAM,Campeche,1,0,1
MX-COL,Colima,1,0,1
MX-NAY,Nayarit,2,0,2
MX-SON,Sonora,6,1,5
MX-COA,Coahuila,8,2,6
MX-OAX,Oaxaca,16,0,19
MX-VER,Veracruz,26,2,29
MX-CHP,Chiapas,2,0,2
MX-MIC,Michoacán,11,3,12
MX-SIN,Sinaloa,10,2,10
MX-AGU,Aguascalientes,0,0,0
MX-TLA,Tlaxcala,1,0,1
MX-MOR,Morelos,6,0,6
MX-TAB,Tabasco,6,1,6
MX-DUR,Durango,7,0,7
MX-NLE,Nuevo León,6,2,7
MX-GRO,Guerrero,18,2,17
MX-GUA,Guanajuato,2,0,2
MX-CMX,Ciudad de México,14,0,17
MX-QUE,Querétaro,0,0,0
MX-PUE,Puebla,4,0,4
MX-TAM,Tamaulipas,21,1,20
MX-BCN,Baja California,5,0,5
MX-MEX,Estado de México,5,0,5
MX-ZAC,Zacatecas,1,0,1
