dw_key,dw_estado,acum_ataques,acum_desaparecidos,acum_muertos
MX-SLP,San Luis Potosi,2,2,0
MX-HID,Hidalgo,0,0,0
MX-YUC,Yucatán,0,0,0
MX-CHH,Chihuahua,21,0,22
MX-ROO,Quintana Roo,1,0,1
MX-JAL,Jalisco,4,0,4
MX-BCS,Baja California Sur,1,0,1
MX-CAM,Campeche,1,0,1
MX-COL,Colima,0,0,0
MX-NAY,Nayarit,0,0,0
MX-SON,Sonora,5,1,4
MX-COA,Coahuila,5,2,3
MX-OAX,Oaxaca,4,0,7
MX-VER,Veracruz,16,2,19
MX-CHP,Chiapas,2,0,2
MX-MIC,Michoacán,8,3,9
MX-SIN,Sinaloa,6,0,6
MX-AGU,Aguascalientes,0,0,0
MX-TLA,Tlaxcala,0,0,0
MX-MOR,Morelos,5,0,5
MX-TAB,Tabasco,2,1,1
MX-DUR,Durango,7,0,7
MX-NLE,Nuevo León,4,2,5
MX-GRO,Guerrero,14,2,13
MX-GUA,Guanajuato,0,0,0
MX-CMX,Ciudad de México,13,0,16
MX-QUE,Querétaro,0,0,0
MX-PUE,Puebla,1,0,1
MX-TAM,Tamaulipas,17,1,16
MX-BCN,Baja California,4,0,4
MX-MEX,Estado de México,5,0,5
MX-ZAC,Zacatecas,0,0,0
