dw_key,dw_estado,acum_ataques,acum_desaparecidos,acum_muertos
MX-SLP,San Luis Potosi,0,0,0
MX-HID,Hidalgo,0,0,0
MX-YUC,Yucatán,0,0,0
MX-CHH,Chihuahua,10,0,10
MX-ROO,Quintana Roo,0,0,0
MX-JAL,Jalisco,3,0,3
MX-BCS,Baja California Sur,1,0,1
MX-CAM,Campeche,0,0,0
MX-COL,Colima,0,0,0
MX-NAY,Nayarit,0,0,0
MX-SON,Sonora,3,1,2
MX-COA,Coahuila,3,2,1
MX-OAX,Oaxaca,4,0,7
MX-VER,Veracruz,9,2,8
MX-CHP,Chiapas,2,0,2
MX-MIC,Michoacán,4,2,4
MX-SIN,Sinaloa,3,0,3
MX-AGU,Aguascalientes,0,0,0
MX-TLA,Tlaxcala,0,0,0
MX-MOR,Morelos,4,0,4
MX-TAB,Tabasco,2,1,1
MX-DUR,Durango,2,0,2
MX-NLE,Nuevo León,1,2,0
MX-GRO,Guerrero,6,1,5
MX-GUA,Guanajuato,0,0,0
MX-CMX,Ciudad de México,11,0,13
MX-QUE,Querétaro,0,0,0
MX-PUE,Puebla,0,0,0
MX-TAM,Tamaulipas,13,0,13
MX-BCN,Baja California,3,0,3
MX-MEX,Estado de México,2,0,2
MX-ZAC,Zacatecas,0,0,0
