dw_key,dw_estado,acum_ataques,acum_desaparecidos,acum_muertos
MX-SLP,San Luis Potosi,3,2,1
MX-HID,Hidalgo,1,0,1
MX-YUC,Yucatán,0,0,0
MX-CHH,Chihuahua,28,1,32
MX-ROO,Quintana Roo,5,0,5
MX-JAL,Jalisco,5,0,5
MX-BCS,Baja California Sur,3,0,3
MX-CAM,Campeche,1,0,1
MX-COL,Colima,1,0,1
MX-NAY,Nayarit,4,0,4
MX-SON,Sonora,14,2,12
MX-COA,Coahuila,9,2,7
MX-OAX,Oaxaca,19,0,22
MX-VER,Veracruz,34,2,38
MX-CHP,Chiapas,7,0,7
MX-MIC,Michoacán,13,3,14
MX-SIN,Sinaloa,12,2,12
MX-AGU,Aguascalientes,0,0,0
MX-TLA,Tlaxcala,1,0,1
MX-MOR,Morelos,8,0,8
MX-TAB,Tabasco,9,1,9
MX-DUR,Durango,7,0,7
MX-NLE,Nuevo León,7,2,8
MX-GRO,Guerrero,27,3,26
MX-GUA,Guanajuato,4,0,4
MX-CMX,Ciudad de México,16,0,19
MX-QUE,Querétaro,0,0,0
MX-PUE,Puebla,5,0,5
MX-TAM,Tamaulipas,24,1,23
MX-BCN,Baja California,9,0,9
MX-MEX,Estado de México,7,0,7
MX-ZAC,Zacatecas,3,0,3
